Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used LLMs to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
3-31-2026 12:20:14;AI;yes;0;mu;nee;non-binary;yes;27/6/2001;200;0;10;67;3:30;Pagga;Pagga
3-31-2026 12:20:19;AI;yes;1;mu;ja;male;no;31.01.97;500;20;0;42;24:00;Sun;No rain
3-31-2026 12:20:20;Masters in Science, Artificial Intelligence;yes;0;mu;ja;male;yes;15-03-2001;120;70;2;42;4;Productive Day;Indulging in Hobbies
3-31-2026 12:20:34;Systems biology & bioinformatics;yes;0;mu;ja;female;yes;5 November ;310;0;8;67;22:00;Social interactions;Good weather
3-31-2026 12:20:39;AI;yes;1;mu;ja;female;yes;14-01-2002;250;30;7;55;22.15;Sun;Sports
3-31-2026 12:20:43;Computational Science;no;1;mu;ja;female;not willing to say;08/28/1999;450;10;5;45;9PM;good food;nice weather
3-31-2026 12:20:45;Business Analytics;yes;0;mu;nee;male;yes;1-11-2002;110;10;7;4;23:00;Free time;Chilling with friends
3-31-2026 12:20:49;Computational science;yes;unknown;mu;ja;male;yes;November 22 2001;140;1;2;87;3 AM;productive improvements;talking with family and chilling by myself
3-31-2026 12:20:54;business analytics;yes;0;mu;nee;female;not willing to say;29/11/1999;300;60;0;29;5 am;good weather;productive day
3-31-2026 12:20:55;Business analytics;yes;0;mu;ja;female;yes;04/05/2003;200;80;4;4;01:00;Sunny weather ;Fun activities planned
3-31-2026 12:20:57;AI;yes;1;mu;ja;male;yes;14-01;180;60;14;30;23:00;Fun;More fun
3-31-2026 12:20:57;AI;yes;unknown;mu;ja;male;yes;01-05-1999;90;60;2;11;3;Walking;Reading
3-31-2026 12:20:58;Computer Science;yes;1;sigma;ja;male;yes;big bang;500;101;-1;skibidi;24:01;Ice cream;2 Ice creams
3-31-2026 12:20:59;MS Business Analytics;yes;0;mu;nee;female;yes;17/05/2001;110;40;3;18;00:30;Hangout with friends;Good food
3-31-2026 12:20:59;Computational Science;yes;0;mu;ja;male;yes;07-10-2000;250;101;5-6 hours ;13;12:00PM;Food;Sunshine
3-31-2026 12:21:01;Corporate Finance;yes;0;mu;ja;male;yes;07-10-2002;440;20;10;67;23.30;productive;time with friends 
3-31-2026 12:21:01;AI;yes;1;mu;ja;male;yes;3rd of February;250;67;3;67;3 am;A day with no homework;A sunny day
3-31-2026 12:21:02;Computer science ;yes;unknown;mu;ja;male;yes;19-12-1999;120;0;4;69;4;Being productive ;Drinking 
3-31-2026 12:21:07;MSc Finance & technology;yes;1;mu;ja;male;yes;11-03-2000;250;40;2;22;12;Beer;More beer
3-31-2026 12:21:08;Computer Science;yes;0;mu;ja;male;yes;01/08/2003;152;60;6;8765;02;Sunny outside;Money in my bank account
3-31-2026 12:21:09;M Computer Science;yes;1;sigma;ja;male;yes;01/01/1900;350;3;4;34;01:30;Sun;Good food
3-31-2026 12:21:10;Business Analytics;yes;0;mu;nee;male;yes;24-04-2002;200;15;8;1475;23;No obligations;Nice weather
3-31-2026 12:21:10;M Computer Science;yes;1;unknown;ja;male;no;2003-03-11;one-hundred twenty one;40;8;44;22:30;No lectures;Good weather
3-31-2026 12:21:13;Finance ;yes;unknown;mu;ja;female;not willing to say;14 February ;82;80;3;13;11 am ;Sunshine;A passing grade 
3-31-2026 12:21:13;Computer Science Joint Degree;yes;0;mu;ja;male;not willing to say;9/11/2002;70;30;0;275;23:00;Something fun happened;Received a good grade
3-31-2026 12:21:13;Computer Science ;no;1;sigma;ja;female;yes;3rd March;150;30;6;9;12;Activity ;Weather
3-31-2026 12:21:14;AI;yes;0;mu;nee;female;yes;27-05-1999;300;20;2;378;23.00;Having no obligations;Time for hobbies
3-31-2026 12:21:18;Business Analytics ;yes;0;sigma;nee;male;yes;04.01.2002;220;100;2;69;1am;No stress ;Progress 
3-31-2026 12:21:19;Bioinformatics and Systems Biology;yes;1;sigma;ja;female;yes;30-09-2002;300;65;3;111;00:05;Sun;Chill
3-31-2026 12:21:19;AI;yes;1;mu;ja;male;yes;27-05;150;10;6;7;00:30;Sun;Weekend
3-31-2026 12:21:20;Computer science;no;0;mu;ja;male;yes;25 march 2000;150;0;16;33;19:00;Food;Fun
3-31-2026 12:21:20;AI;yes;1;sigma;ja;not willing to answer;no;06.07.2002;67;80;6-7;67;6:07;Balkan breakfast;Gym
3-31-2026 12:21:20;Computer Science (VU/UvA);yes;1;mu;ja;female;not willing to say;08-07-2002;300;80;0;8;01:00 ;Good breakfast ;Not rushing through the day
3-31-2026 12:21:21;Business Analytics ;yes;unknown;sigma;ja;male;yes;2002;150;67;10;67;00:00;No uni ;Nice weather 
3-31-2026 12:21:22;Bioinformatics and system biology;yes;1;mu;ja;female;yes;11 Aug;150;90;0;13;23:00;Alcohol;Cigarettes
3-31-2026 12:21:23;Business Analytics ;yes;1;mu;ja;male;yes;9 april 2001;70;55;3;67;02:00;Food;Games
3-31-2026 12:21:24;Quant finance;yes;1;mu;ja;female;yes;27 april;120;10;5;4;00:50;Weather ;Food
3-31-2026 12:21:24;Computer Security;yes;unknown;mu;ja;gender fluid;no;19.10.1976;67;67;6-7;67;6:07;Brreakfast around 6 or 7;Lunch at 16:07
3-31-2026 12:21:24;Data mining;yes;1;mu;ja;male;yes;10/2003;150;25;3;21;Pulled all nighter;Peace;Won my sports parlay
3-31-2026 12:21:27;Master in computer science ;yes;1;mu;ja;male;not willing to say;March 7;70;300;0;67;5am;Hotpot;Tiramisu 
3-31-2026 12:21:27;MPA;no;0;mu;nee;female;yes;25-12-2001;80;0;3;7;22.30;Sunny weather;An aesthetic pastry
3-31-2026 12:21:27;Msc. Computer science;no;1;mu;ja;male;no;1999;250;99;1-3;47;2 am;Sunny day;No task
3-31-2026 12:21:28;Computational science;no;0;mu;nee;male;not willing to say;31-08;211;40;6;2411;0045;Sleep;Sport
3-31-2026 12:21:29;Msc;yes;0;mu;nee;male;yes;24-11-2001;80;70;4;7;4:00;No stress ;A lot of money
3-31-2026 12:21:30;Artificial Intelligence ;yes;1;mu;ja;male;yes;06-01-2000;270;15;8;16218;00:11;Friends;Good weather 
3-31-2026 12:21:30;Business Analytics;yes;1;mu;ja;male;yes;18-08-2003;160;30;8;837;11:45 ;Doing a sport I like;Drinking beer
3-31-2026 12:21:31;Computer science;yes;0;mu;ja;male;not willing to say;05-03-2003;420;38;6;69;2:00;Friends;Video games
3-31-2026 12:21:31;Computational science;yes;0;mu;nee;female;yes;28/07/1999;200;35;2;38;23:38;Lovely food;Having done something
3-31-2026 12:21:32;BA;yes;1;mu;ja;female;yes;28/04/2003;363;10;2;46926;01.00;Interacting with friends;Cuddling with my cat
3-31-2026 12:21:33;Bioinformatics and Systems Biology;yes;0;mu;nee;male;yes;22-11-2002;200;35;7;22;23:50;Productivity;Beer
3-31-2026 12:21:33;Econometrics;no;1;mu;nee;male;yes;13/09/2000;130;30;8;50;22:40;Coffee;Good nights rest
3-31-2026 12:21:34;CS;yes;1;mu;ja;female;yes;21-2-2002;200;75;5;88;23.00;Good food;Good sleep
3-31-2026 12:21:35;MSc Artificial Intelligence ;yes;0;sigma;ja;male;yes;22/09/2001;150;50;4;86;00:30;friends;food
3-31-2026 12:21:35;Bioinformatics and Systems Biology;yes;0;mu;nee;male;yes;26/09/2003;125;30;7;823;3:00;Doing sports;Having good wather
3-31-2026 12:21:36;Master AI;yes;0;mu;ja;male;not willing to say;1999-9-3;250;30;2;76.44;01:00;Payday;Food
3-31-2026 12:21:36;MSc Econometrics & Data Science;yes;unknown;sigma;ja;female;yes;Yes;324;Yes;6;0;23:12;Having class;Seeing the sun
3-31-2026 12:21:36;Data mining;yes;0;unknown;ja;male;not willing to say;04-06-1999;100;50;2;35;11;Eat well;Spend time well
3-31-2026 12:21:37;BA;yes;1;mu;ja;female;yes;29 okt;200;20;3;123;10:40;Food;Sunshine
3-31-2026 12:21:37;MSc Artificial Intelligence;yes;0;mu;ja;female;yes;27-04-2002;350;85;10;15;00.30;sleep;sun
3-31-2026 12:21:37;Artificial intelligence ;yes;0;mu;nee;male;yes;17-12-2002;150;20;8;14;23:30;Sun is shining  ;Meeting with friends
3-31-2026 12:21:38;Computer science;no;0;mu;nee;female;yes;19.02;120;2;0;16;23:00;Tasty food;Sport
3-31-2026 12:21:38;Computational Scieneces;yes;1;mu;nee;female;no;02.04.1995;250;50;10;7;00:12;Pedicure;Facial
3-31-2026 12:21:39;AI;yes;1;mu;nee;female;yes;12/11/2001;200;20;4;12;3:00am;Food;My people
3-31-2026 12:21:39;MSc Artificial Intelligence;yes;0;mu;ja;female;yes;02-05-2003;250;20;10;437;23:30;Having nice plans;Good weather
3-31-2026 12:21:39;AI;yes;1;mu;ja;female;no;2002;240;10;6;16;00.34;-;-
3-31-2026 12:21:39;Big Data Engineering;no;1;unknown;ja;male;not willing to say;05th May;450;75;2;69;03:00 AM;Less work;Travelling
3-31-2026 12:21:40;AI;yes;1;mu;nee;male;yes;14-10-1999;300;10;1;11111111111111111111111111111111111111;17;Eating;Sleeping
3-31-2026 12:21:42;Artificial intelligence ;yes;1;unknown;nee;female;yes;30;500;50;0;76625;2AM;Good food;Good sleep
3-31-2026 12:21:43;MPA;yes;0;mu;ja;female;yes;06/08/2003;112;84;7;4;1:30;Good food;Seeing friends 
3-31-2026 12:21:44;AI master;yes;0;mu;nee;female;yes;12.10 ;150;45;4;83;23;Being productive;A good dinner
3-31-2026 12:21:44;AI;yes;1;sigma;ja;male;yes;23 September 2003;150;0;8;67;00:00;Beer;Sun
3-31-2026 12:21:45;Business Analytics;yes;0;sigma;ja;female;yes;31-10;220;60;5;616;00:45;Sun;Coffee
3-31-2026 12:21:46;MSc AI;yes;0;mu;unknown;female;yes;26-09-2001;70;80;0;26;2:00;No deadlines/exams/work, able to allocate time freely;Sleep in, nice weather outside, meeting friends, travel and party
3-31-2026 12:21:46;Business Analytics;yes;1;sigma;ja;female;no;Aug 5;215;43;2;54;1:45 am;Yummy food;Being around people I like
3-31-2026 12:21:47;Msc Computer Science;yes;1;mu;ja;male;yes;5 maart 2001;161;27;18;No;Rond 1 uur;Have activities to do;Have little stress
3-31-2026 12:21:47;Artificial intelligence ;no;0;mu;ja;male;not willing to say;26 june;169;69;6;314.159.265;3:00 🫶;Cake;Alcohol 
3-31-2026 12:21:47;Computer Science;no;0;mu;ja;male;yes;03.09.;350;10;12;42;1 am;Cats;Stroopwaffel
3-31-2026 12:21:48;CS;yes;1;mu;ja;male;yes;12-12-2000;200;89;0;99;4am;having made a good amount of money;feeling at peace and not having any stress
3-31-2026 12:21:50;Artificial intelligence ;yes;0;mu;ja;female;yes;12-04;100;60;12;12;3 am;Sunshine;Training
3-31-2026 12:21:51;Cs joint master;no;0;unknown;ja;gender fluid;yes;0108;300;9.999.999;4;10101010010101010;1am;Nice weather ;Peace 
3-31-2026 12:21:51;Computational Science;no;0;mu;nee;not willing to answer;yes;29/08/1998;200;20;4;13;0:30;getting a lot done, relaxingly;seeing people i like
3-31-2026 12:21:52;AI;unknown;unknown;mu;nee;not willing to answer;not willing to say;16-07-2005;200;100;0;1E+13;11;No work ;Sunday
3-31-2026 12:21:52;BDE;yes;0;sigma;ja;male;not willing to say;9/1/2004;234;67;0;67;2 am;No classes;No assignment due
3-31-2026 12:21:52;Finance and Technology;yes;1;mu;ja;male;not willing to say;20 Jan;200;89;6;7;2300;Sunny;Good workout
3-31-2026 12:21:52;Finance and Technology;yes;0;mu;nee;male;yes;16.11.1994;120;65;4;136445258;02:08;Sun;Gaming
3-31-2026 12:21:52;AI;yes;1;mu;ja;female;yes;22 August;70;50;0;5;23:30;Sunlight;Seeing friends
3-31-2026 12:21:53;Masters in Computer Science ;yes;0;mu;ja;male;yes;01/03/2000;200;67;6;67;2am;Good Food ;Good show
3-31-2026 12:21:53;Econometrics ;yes;0;unknown;nee;female;not willing to say;7/15;100;80;2;33;12;deep sleep over 3 hours ;nice weather 
3-31-2026 12:21:54;CS;yes;1;mu;ja;male;yes;1998;300;0;3;7575;00:30;Sunny days;No work
3-31-2026 12:21:54;AI;yes;1;mu;ja;male;yes;24th june;250;100;0;31;1am;All day beach and beers;Payday
3-31-2026 12:21:56;Bioinformatics and Systems Biology;yes;0;mu;nee;female;yes;17-09-2002;200;89;3;17;3;good run;good food
3-31-2026 12:21:59;AI;yes;1;sigma;ja;male;yes;18-07-1992;250;70;4;37;1:00;Accomplish my to-do list;Meeting friends
3-31-2026 12:21:59;Honours programme Finance and Technology ;yes;1;mu;ja;male;yes;05-13-1995;280;70;7;7777777;12:30;Green candles;Char Siu
3-31-2026 12:22:00;MSc Computer Security;yes;1;mu;ja;male;yes;18-05-2004;260;30;5;18;1 AM;Fun activity;Sunny weather
3-31-2026 12:22:00;computer science;no;unknown;sigma;unknown;gender fluid;not willing to say;16;400;98.99;2;886;1am;Money coming in my account;Sunshine
3-31-2026 12:22:01;Artificial Intelligence ;yes;0;mu;ja;male;yes;22;68;22;8;254375479497648474738;23.45;Sun;Parmezaan 
3-31-2026 12:22:01;CS;yes;1;mu;ja;female;yes;24th October 2003;150;85;3;66;01:00;Good weather;No rain
3-31-2026 12:22:03;Business Analytics ;yes;0;mu;nee;female;yes;6-03-1997;100;60;3;75;23:00;Coffee;Cigarettes 
3-31-2026 12:22:03;Bioinformatics and Systems Biology ;no;0;mu;nee;male;yes;2/12;65;0;0;3;12:30;Sunny weather and no chores;Coffee at a park
3-31-2026 12:22:06;Business Analytics;yes;0;mu;nee;male;yes;04-09-1999;78;50;2;55555;23:00;1 milion euro's cash;2 million euro's cash
3-31-2026 12:22:06;Ai;yes;1;mu;ja;male;yes;19021998;200;75;6;13;04:00;8 hours of sleep;Waking up before 8:30
3-31-2026 12:22:08;Business Analytics ;yes;0;mu;ja;male;yes;24/03/2004;80;60;6;31;00;Playing tennis;Passing exams
3-31-2026 12:22:08;MSc AI;yes;1;sigma;ja;male;no;17.09.2001;370;10;5;42;0:30;the sun;sports
3-31-2026 12:22:08;Honours Masters Finance and Technology ;yes;0;mu;nee;female;yes;18-10-2001;100;40;4;11;00:30;Being with family;Good food
3-31-2026 12:22:10;Quantitative Finance;yes;0;mu;ja;male;not willing to say;10-12-2002;150;65;3;124;23:30;Achieving something I worked for;A great meal and good company
3-31-2026 12:22:11;Finance & Technology;yes;0;mu;nee;female;yes;July 30th;100;30;15;17;00:34;Sun;Friends
3-31-2026 12:22:11;Bioinformatics;yes;0;mu;nee;male;yes;22111995;86;76;5;67;2;No drama;Winning the lottery
3-31-2026 12:22:14;Business Analytics ;yes;0;mu;ja;male;yes;08-03-1982;220;30;4;2;12:30;Sun;Friends
3-31-2026 12:22:15;Artificial Intelligence;yes;1;sigma;nee;female;yes;02-08-1999;324;62;4;98;00:35;Great conversations;Having a good dance training
3-31-2026 12:22:16;MSc AI;yes;0;mu;nee;gender fluid;yes;03/01/2003;280;50;8;7484929747282909342847729203874729309387272380930948727378932047473903832774394043y854764385029374832657093284972364574836594754938627654389574-0534732409863457543285437834653473485487545673634575437347345784538743563463187438778342;00:00;Sports;Familie/friends
3-31-2026 12:22:18;Master AI;yes;1;mu;ja;male;not willing to say;10-08-2001;130;20;3;87;00:00;Drumming;Good food
3-31-2026 12:22:19;Fintech ;yes;0;mu;nee;male;yes;5/4/1998;110;80;3;7;5:00;Smiling and not feeling stressed, plus enjoying part of it with my friends;Sleeping well, eating well
3-31-2026 12:22:19;Computer Science ;no;0;sigma;ja;male;yes;22-11-2002;80;10;4;97;22:00;Completing tasks;Low stress level
3-31-2026 12:22:20;AI;no;0;unknown;ja;female;yes;26/12/2002;300;60;3;26;22:30;Sunny;Friends
3-31-2026 12:22:22;AI;no;0;mu;nee;female;not willing to say;10;250;23;1;420;11;Cats;Good food
3-31-2026 12:22:22;msc ai;yes;1;mu;ja;female;not willing to say;1998;90;75;2;101;1:40;feeling proud;nourishment
3-31-2026 12:22:22;Bioinformatics & Systems Biology ;yes;0;mu;ja;female;yes;27-01-2004;240;7;4;988;23:07;If I ate very nice and tasty food.;If my run went well. 
3-31-2026 12:22:24;Master Bioinformatics and Systems Biology;yes;unknown;mu;ja;female;yes;22-10-2001;100;75;2;98;00:30;sunshine;coffee
3-31-2026 12:22:26;Econometrics;yes;unknown;mu;nee;female;not willing to say;21.12.1999;300;60;2;67;1;Good meal;Sun
3-31-2026 12:22:29;Econometrics;no;1;mu;ja;male;not willing to say;1-1-2002;120;10;2;938427;00:42;Food;More food
3-31-2026 12:22:31;BA;yes;0;mu;ja;female;yes;23-04-2001;123;30;20;23;23:30;Sporting;Doing sometings with friends
3-31-2026 12:22:32;Computational Science;yes;0;mu;nee;female;yes;14-10-2002;250;75;3;14;22.00;sun,;holiday
3-31-2026 12:22:32;Msc Computer Science;yes;1;sigma;ja;female;yes;22/09/2002;500;80;1hr;2;5am;When Ive studied;When i have good food
3-31-2026 12:22:32;Bioinformatics;yes;0;mu;ja;female;not willing to say;2001. 08. 09.;376;100;0;42;1am;Passing grade in DM;RedBull
3-31-2026 12:22:33;Bioinformatics and Systems Biology MSc;yes;0;unknown;nee;male;yes;22-06-2002;135;23;1;42;8pm;Friends;Science
3-31-2026 12:22:33;Computer Science (AI) ;yes;1;mu;ja;female;yes;21/05/2001;160;79;7;211;23:15;Sunny wheater ;Be with my friends 
3-31-2026 12:22:33;Finance and Technology;yes;0;sigma;nee;male;yes;1.6.2003;180;77;0;73;2:15;Good weather;Adequate sleep
3-31-2026 12:22:34;Bioinformatics and Systems Biology;no;0;mu;ja;female;yes;20-04-2002;250;30;4;9;23.00;Doing fun activities ;Having good food
3-31-2026 12:22:36;Bioinformatics and System Biology;yes;0;mu;ja;male;yes;13-04-2002;325;30;12;67;00:30;Good balance between fun, exercise and school;sunshine
3-31-2026 12:22:36;Computer Science;yes;0;unknown;ja;male;yes;2002-05-08;100;80;4;1;02:00;Meeting friends;Hqving finished a mission/task
3-31-2026 12:22:36;Fintech;yes;0;mu;nee;female;yes;10/2/1998;80;90;3;53;4:00;No assignments;Coffee outside with good weather
3-31-2026 12:22:37;Philosophy ;yes;1;mu;ja;female;no;1990;200;60;8;67;1:00;Energy;Rest
3-31-2026 12:22:37;Masters AI;yes;0;mu;ja;female;yes;15-07-2004;150;60;3;10;2:28 am;Good food;Good sleep
3-31-2026 12:22:39;Computational Science;yes;0;mu;nee;male;yes;29/07/2001;233;65;5;32;2:00;Sun;Beer
3-31-2026 12:22:39;CS;yes;1;mu;ja;female;not willing to say;22-01-2005;250;50;5;666;00:30;Warm, sunny weather;Time for my hobbies
3-31-2026 12:22:39;M Artificial Intelligence;yes;0;mu;ja;female;not willing to say;25/03/2003;150;80;2;89;3 AM;Having good food;Doing nothing whole day
3-31-2026 12:22:39;Bioinformatics MSc;yes;0;mu;nee;female;not willing to say;13-07-1994;300;70;1;1221;12AM;Sunlight;Heated Rivalry
3-31-2026 12:22:40;Computer Science;yes;0;sigma;ja;male;yes;12/11/2002;100;30;7;10;3.00;Sun;Gym
3-31-2026 12:22:42;CS;yes;0;sigma;nee;female;not willing to say;16-06-2000;167;72;2;8;00:58;Good food;No task in mind and in reality 
3-31-2026 12:22:43;AI;yes;0;mu;ja;female;not willing to say;26-11-1998;230;40;4;24;01:20;Being productive;Reading
3-31-2026 12:22:44;Bioinformatics and Systems Biology;yes;0;mu;nee;female;yes;2004.05.12.;250;30;5;9;23.30;The people I interact with;Encountering challenges I can solve
3-31-2026 12:22:45;Master AI;yes;1;mu;ja;male;yes;22-04-1991;120;30;8;22;23:00;Empty schedule;No socializing 
3-31-2026 12:22:45;AI;yes;0;mu;nee;female;yes;08-06-2001;170;89;1;8;00:34;Relaxation ;Good food 
3-31-2026 12:22:45;Master of Business Analytics ;yes;0;unknown;ja;female;yes;21/04/1999;370;30;0;27;02:45;Good food;Achieving daily goals
3-31-2026 12:22:47;Computer Science;yes;0;mu;ja;male;yes;19/08/2001;250;67;6;19;0030;Sleeping and eating well;A nice day out
3-31-2026 12:22:48;Econometrics and Data Science;yes;unknown;mu;ja;male;yes;10.04.2000;101;0;12;5;1.00;Gym;My gf
3-31-2026 12:22:51;AI;yes;unknown;mu;ja;male;yes;22-10-2003;180;40;5;21;00:30;Sunny;Free
3-31-2026 12:22:52;Econometrics & Data Science;yes;0;mu;unknown;female;no;26 July ;450;40;6;23;00.55;Sunny weather;Socializing
3-31-2026 12:22:53;Master AI;yes;0;mu;ja;female;yes;22/03/2003;123;100 😳;7;294;23;meeting with friends;no work
3-31-2026 12:23:00;Masters Computer science;yes;0;sigma;ja;female;yes;16/08/2002;300;80;5hr;8;2;Productive day;Things that are make me happy
3-31-2026 12:23:02;AI;no;1;mu;ja;female;yes;24/03/2003;212;10;6;679;23.00;No rain, no wind, no hail;Sunny day
3-31-2026 12:23:17;MSc Computer Science ;yes;1;mu;ja;male;yes;18/11;350;69;5;-14;00:35;Food;Volleyball 
3-31-2026 12:23:17;AI;yes;0;mu;ja;female;yes;18-08-2002;200;10;6;88;23:30;Having been productive.;Had a good time in a social situation.
3-31-2026 12:24:12;Master AI;yes;1;sigma;ja;female;yes;21-09;176;100;0;24;2am;Food;Getting enough sleep
3-31-2026 12:24:41;AI;yes;unknown;mu;ja;male;not willing to say;29-11-2000;150;60;8;8;22:00;Laughing;Exercise
3-31-2026 12:27:47;Econometrics;yes;unknown;mu;ja;male;yes;28-08-2002;125;10;3;7,68967E+11;00:30;Coffee;Sunny weather